Id,Date,Step,Id_conversation,Id_contact,Final_step
ACoAAAArjpsB8TbFu6TI2FOgunBIyEXaloZbQAY_0,1671062400,0,-1,ACoAAAArjpsB8TbFu6TI2FOgunBIyEXaloZbQAY,0
ACoAAAIhZP8B1lBk_ML2glsU2PxqP1VPM5w8p6E_0,1671062400,0,-1,ACoAAAIhZP8B1lBk_ML2glsU2PxqP1VPM5w8p6E,0
ACoAAAFfwboB3Q2TnLMPqdTTiEAXzfPWUxrf6C8_0,1671062400,0,-1,ACoAAAFfwboB3Q2TnLMPqdTTiEAXzfPWUxrf6C8,0
ACoAACZIbRYBhRE4hjgK-Ac8-AZF6Dj3EnPV81E_0,1671062400,0,-1,ACoAACZIbRYBhRE4hjgK-Ac8-AZF6Dj3EnPV81E,0
ACoAAACygOcBKENMqdBSJrm7wi4DINUur3eDZy8_0,1671062400,0,-1,ACoAAACygOcBKENMqdBSJrm7wi4DINUur3eDZy8,0
ACoAAACygOcBKENMqdBSJrm7wi4DINUur3eDZy8_1,1671062400,1,-1,ACoAAACygOcBKENMqdBSJrm7wi4DINUur3eDZy8,0
ACoAAAB7ErMB2PtDl4gnf11eJYgYyaRIdQhiA4E_0,1671062400,0,-1,ACoAAAB7ErMB2PtDl4gnf11eJYgYyaRIdQhiA4E,0
ACoAAAB7ErMB2PtDl4gnf11eJYgYyaRIdQhiA4E_1,1671062400,1,-1,ACoAAAB7ErMB2PtDl4gnf11eJYgYyaRIdQhiA4E,0
ACoAAA5JocgB4O2E9GzRML6hrnUhsMktfJpwPDk_0,1671062400,0,-1,ACoAAA5JocgB4O2E9GzRML6hrnUhsMktfJpwPDk,0
ACoAAAvLyo0BfNRtdLE30j4KcP-ecDyXzZiOsi8_0,1671062400,0,-1,ACoAAAvLyo0BfNRtdLE30j4KcP-ecDyXzZiOsi8,0
ACoAABaCs3MBL0nA5HDQ4qTda1gbL-reHhQ8zrY_0,1671062400,0,-1,ACoAABaCs3MBL0nA5HDQ4qTda1gbL-reHhQ8zrY,0
ACoAAB_FtvYB1Na-CxCa_HkSLby9ftRIoefa2s0_0,1671062400,0,-1,ACoAAB_FtvYB1Na-CxCa_HkSLby9ftRIoefa2s0,0
ACoAAB_FtvYB1Na-CxCa_HkSLby9ftRIoefa2s0_1,1671062400,1,-1,ACoAAB_FtvYB1Na-CxCa_HkSLby9ftRIoefa2s0,0
ACoAABi88o8B4UiZ5TAJwP2J6peCILcgehaEDwQ_0,1671062400,0,-1,ACoAABi88o8B4UiZ5TAJwP2J6peCILcgehaEDwQ,0
ACoAABi88o8B4UiZ5TAJwP2J6peCILcgehaEDwQ_1,1671062400,1,-1,ACoAABi88o8B4UiZ5TAJwP2J6peCILcgehaEDwQ,0
ACoAACqESiABxgS00i7odj0i7X-0_yDvFNg2ZLM_0,1671062400,0,-1,ACoAACqESiABxgS00i7odj0i7X-0_yDvFNg2ZLM,0
ACoAACqESiABxgS00i7odj0i7X-0_yDvFNg2ZLM_1,1671062400,1,-1,ACoAACqESiABxgS00i7odj0i7X-0_yDvFNg2ZLM,0
ACoAAAEucI0Bdc6fNg35oVt6SlqMFvlt3M3cg60_0,1671062400,0,-1,ACoAAAEucI0Bdc6fNg35oVt6SlqMFvlt3M3cg60,0
ACoAAAQsEU8BEO5ol1TUi5LqYtqj6_SGOqJXo3A_0,1671062400,0,-1,ACoAAAQsEU8BEO5ol1TUi5LqYtqj6_SGOqJXo3A,0
ACoAABx3gREBoppRUcVZ1uSpn8abjutCL0WRBdk_0,1671062400,0,-1,ACoAABx3gREBoppRUcVZ1uSpn8abjutCL0WRBdk,0
ACoAABGORDUBY-3eZTP5TmgNgBZ1ofbUPMQAs1U_0,1671062400,0,-1,ACoAABGORDUBY-3eZTP5TmgNgBZ1ofbUPMQAs1U,0
