msg,delivered_at_date,delivered_at_tmsp,id_contact,id_conversation
"Hello Matthieu

Désolé pour la réponse tardive, je rentre de congés. je serai dispo ce jeudi 15h 

Avec plaisir pour échanger !

Alexandre",06-12-22,1670342606902,ACoAAAAV5QYBHpcG7LICLdgLDhZBXabaNGIeiKc,2-M2NhOWE3Y2YtNzU4Mi00NWEyLWJiODEtN2I5MTdmMmU4MjFkXzAxMg==
"Matthieu, 
J'espère que vous allez bien. J'ai identifié votre profil concernant votre poste de Account Executive chez Esmoz. Je recrute un Sales Manager pour un grand éditeur allemand leader dans le Marketing Digital - 250 salariés. 
Qu'en pensez vous ? 
Foucauld ",01-12-22,1669888353748,ACoAABRPL2wBJXrgbHy5wboPTNb7usxJM_iF_Tw,2-YzU3MWY1MWYtODdlYy00MDBhLWE5N2UtOTAzYmQwODYzMzE0XzAxMg==
"Bonjour,

Je pense que vous devriez contacter mon homologue Zahir Berkane qui s’occupe de profils plus orientés data. De mon côté, je gère plutôt des profils orientés développement Web/Mobile dans un contexte Agile. :)",05-12-22,1670260538470,ACoAAAxFHuUBviNHCOWsxzBbRUXgGsjfwTAh0GU,2-Y2JmZTdiMDUtMTlmMy00MWY1LWIwMDctMTZjN2EwMjVhYmQwXzAxMg==
Et bienvenue Jean-Bernard ,07-11-22,1667826675878,ACoAACwqwkgBwn2amdmT_fXm6uVPWLL9d4tr8LM,2-OTVjZmU3YWYtOTQzMi00MzFkLWIyZGQtZjNjYjk0YTk5YWZjXzAxMg==
"Bonjour Matthieu,

Merci pour l’intérêt que vous portez à mon profil. Je serai ravie d’échanger avec vous sur de potentielles opportunités. 

Bonne journée,

Sara  ",07-11-22,1667826530618,ACoAADNDqlAB84UDgU39zNB7qGYVoHgHe0JXJJ8,2-MTAyNWViZjctM2UwZS00ODQ2LWI4ZGUtZDY5NzI4MzM0MThiXzAxMg==
"Bonjour, Désolé je ne suis pas à l'écoute du marché en ce moment. Cordialement",05-12-22,1670254204677,ACoAAAddFZsBw3Dj7wSQqjw-ioT58wiiwoxOsB8,2-ZTk5NmI5YWQtNTcxMi00OTBiLWExNmEtZGUyMzZhYmNkMDJmXzAxMA==
"Salut Matthieu,

Enchanté et ravie de vous connaître.",01-12-22,1669905086585,ACoAAA1uclMBbUigHoOPLtNVzjNxz6BMjbS05-8,2-MTYwMGU5MTMtMjhjNC00NzkzLTkxOTktMTBjY2RhNjBlM2RjXzAxMg==
Au plaisir ,01-12-22,1669930943750,ACoAACP1hjQBBjS_iwC4gOlyOeRZbFiKKkX1hK4,2-MTM3ZWU5OWUtNDBhNC00YWU2LTkxNzktNTM4YjUyZTQwYWE4XzAxMg==
"Bonjour Mathieu, merci de votre intérêt je suis dans une mutation vers Montréal, et je recherche des opportunités dans ce secteur. bien à toi Frédéric DENIS",01-12-22,1669928501173,ACoAACW0oBkBWTU-M3nH34AIoNPpCcImgLB3eHE,2-YmNlMjRiOWMtNDJmYS00Y2NhLThlYTctMjFlYjMzNjhhYTE4XzAxMg==
"Bonjour Matthieu,

Je vous remercie de l'intérêt que vous portez à mon profil.
Au plaisir d'échanger avec vous.

Cordialement,
Pierre-Alexis",01-12-22,1669927010166,ACoAACtBGnUBdtmMC8hCJAsM53xqfblibLOidF0,2-YjZiNWZmNzQtYTA0Ni00ZTc2LWI0M2QtYmRjYTE4MmE5Y2E5XzAxMg==
